links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
4090,6,5,5,0.009036144578313253,0.2514450867052023,0.008771929824561403
4100,6,5,5,0.008928571428571428,0.2514450867052023,0.008746355685131196
4110,6,5,5,0.008902077151335312,0.2571428571428571,0.008695652173913044
4120,6,5,5,0.008875739644970414,0.2564102564102564,0.008620689655172414
4130,6,5,5,0.008875739644970414,0.254957507082153,0.008522727272727272
4140,6,5,5,0.008823529411764706,0.2542372881355932,0.0084985835694051
4150,6,5,5,0.008797653958944282,0.2535211267605634,0.008450704225352112
4160,6,5,5,0.00872093023255814,0.2535211267605634,0.008403361344537815
4170,6,5,5,0.00872093023255814,0.25139664804469275,0.008379888268156424
4180,6,5,5,0.00872093023255814,0.25139664804469275,0.008379888268156424
4190,6,5,5,0.008670520231213872,0.24930747922437674,0.008356545961002786
4200,6,5,5,0.008645533141210375,0.24930747922437674,0.008310249307479225
4210,6,5,5,0.008571428571428572,0.24861878453038674,0.008264462809917356
4220,6,5,5,0.008547008547008548,0.24725274725274726,0.008241758241758242
4230,6,5,5,0.0084985835694051,0.2459016393442623,0.008174386920980926
4240,6,5,5,0.00847457627118644,0.2452316076294278,0.008130081300813009
4250,6,5,5,0.00847457627118644,0.24390243902439024,0.008064516129032258
4260,6,5,5,0.00847457627118644,0.24324324324324326,0.008064516129032258
4270,6,5,5,0.008403361344537815,0.24258760107816713,0.008021390374331552
4280,6,5,5,0.008356545961002786,0.24258760107816713,0.008
4290,6,5,5,0.008333333333333333,0.24128686327077747,0.007978723404255319
4300,6,5,5,0.008333333333333333,0.24064171122994651,0.007978723404255319
4310,6,5,5,0.008264462809917356,0.2393617021276596,0.007936507936507936
4320,6,5,5,0.00819672131147541,0.23746701846965698,0.007936507936507936
4330,6,5,5,0.008130081300813009,0.23746701846965698,0.007894736842105263
4340,6,5,5,0.00804289544235925,0.234375,0.007853403141361256
4350,6,5,5,0.008,0.234375,0.007832898172323759
4360,6,5,5,0.008,0.23376623376623376,0.007792207792207792
4370,6,5,5,0.007978723404255319,0.23316062176165803,0.007751937984496124
4380,6,5,5,0.007936507936507936,0.23316062176165803,0.007731958762886598
4390,6,5,5,0.007894736842105263,0.23316062176165803,0.007712082262210797
4400,6,5,5,0.007874015748031496,0.23195876288659795,0.0076726342710997444
4410,6,5,5,0.007832898172323759,0.23076923076923078,0.007594936708860759
4420,6,5,5,0.0078125,0.23017902813299232,0.007556675062972292
4430,6,5,5,0.007772020725388601,0.22842639593908629,0.007537688442211055
4440,6,5,5,0.007633587786259542,0.22670025188916876,0.0075
4450,6,5,5,0.007556675062972292,0.22443890274314215,0.007462686567164179
4460,6,5,5,0.007537688442211055,0.22277227722772278,0.007444168734491315
4470,6,5,5,0.007462686567164179,0.22058823529411764,0.007444168734491315
4480,6,5,5,0.007425742574257425,0.22058823529411764,0.007425742574257425
4490,6,5,5,0.007389162561576354,0.21844660194174756,0.007371007371007371
4500,6,5,5,0.007389162561576354,0.2179176755447942,0.007352941176470588
4510,6,5,5,0.007317073170731708,0.22355769230769232,0.007263922518159807
4520,6,5,5,0.007246376811594203,0.22195704057279236,0.007194244604316547
4530,6,5,5,0.007228915662650603,0.22142857142857142,0.007159904534606206
4540,6,5,5,0.007159904534606206,0.22142857142857142,0.007159904534606206
4550,6,5,5,0.0071090047393364926,0.2209026128266033,0.007125890736342043
4560,6,5,5,0.007075471698113208,0.22037914691943128,0.0071090047393364926
4570,6,5,5,0.007058823529411765,0.21830985915492956,0.007058823529411765
4580,6,5,5,0.007042253521126761,0.21678321678321677,0.006993006993006993
4590,6,5,5,0.007009345794392523,0.22811059907834103,0.006993006993006993
4600,6,5,5,0.0069767441860465115,0.22654462242562928,0.0069767441860465115
4610,6,5,5,0.006944444444444444,0.22654462242562928,0.0069605568445475635
4620,6,5,5,0.006944444444444444,0.22448979591836735,0.006944444444444444
4630,6,5,5,0.006896551724137931,0.23024830699774265,0.0069124423963133645
4640,6,5,5,0.006896551724137931,0.23542600896860988,0.006864988558352402
4650,6,5,5,0.006896551724137931,0.2348993288590604,0.006818181818181818
4660,6,5,5,0.006896551724137931,0.23385300668151449,0.006818181818181818
4670,6,5,5,0.006896551724137931,0.2328159645232816,0.006787330316742082
4680,6,5,5,0.006880733944954129,0.23076923076923078,0.006772009029345372
4690,6,5,5,0.00683371298405467,0.22975929978118162,0.006756756756756757
4700,6,5,5,0.006818181818181818,0.22826086956521738,0.006756756756756757
4710,6,5,5,0.006787330316742082,0.2267818574514039,0.006741573033707865
4720,6,5,6,0.006756756756756757,0.22532188841201717,0.006622516556291391
4730,6,5,6,0.006741573033707865,0.22532188841201717,0.006593406593406593
4740,6,5,6,0.006696428571428571,0.22483940042826553,0.006564551422319475
4750,6,5,6,0.0066518847006651885,0.22435897435897437,0.006550218340611353
4760,6,5,6,0.00663716814159292,0.22435897435897437,0.006507592190889371
4770,6,5,6,0.006607929515418502,0.22245762711864406,0.006493506493506494
4780,6,5,6,0.006593406593406593,0.22012578616352202,0.0064516129032258064
