links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
20400,9637,9666,9664,0.20499596533698208,0.21684579384304226,0.15782975270751756
20500,9648,9671,9667,0.20575282773966252,0.21732899933591976,0.1596101446237686
20600,9652,9676,9669,0.20692387185669997,0.21796601958545278,0.16141714127602666
20700,9664,9687,9673,0.20747293732375147,0.21833761782347902,0.16320684736091298
20800,9670,9690,9682,0.2082751789653775,0.21922489391796324,0.16519204040814942
20900,9676,9692,9688,0.2094026622667172,0.21995584296233203,0.16726727398885333
21000,9679,9692,9694,0.21114631749781954,0.2210487780526497,0.1692215608685532
21100,9684,9702,9696,0.2123629766445535,0.2213711937231459,0.1714257506115688
21200,9694,9706,9699,0.21341780376868097,0.22174693877551022,0.17307943132907264
21300,9702,9709,9703,0.21441215281130316,0.22225816887738595,0.17510330578512398
21400,9710,9714,9706,0.2149963859007611,0.2223504150241964,0.17758254880428176
21500,9713,9719,9717,0.21543099904070165,0.2229215147027713,0.1794622474000169
21600,9717,9720,9722,0.2162732400250679,0.22333535933603002,0.18166013865907044
21700,9720,9722,9727,0.21747725555544056,0.2240670363217245,0.1837389093550563
21800,9722,9723,9734,0.21860045701872138,0.22504010860175244,0.18644747393744987
21900,9726,9723,9736,0.22038044581590807,0.22607030446253043,0.18846886879949448
22000,9728,9726,9741,0.22178636089318043,0.2264933544591226,0.1903564830238968
22100,9732,9729,9749,0.22299297353864553,0.22726409151359406,0.19241045963553394
22200,9739,9731,9750,0.2234695390088443,0.22830738143349577,0.19493575507614214
22300,9743,9736,9754,0.22446161530099598,0.22913740780389114,0.19722336850792901
22400,9751,9736,9757,0.22577983165538867,0.23016745643310987,0.19908025370967586
22500,9756,9739,9760,0.22661828960791486,0.2311920236051916,0.20141598732758953
22600,9757,9745,9761,0.2279444735963364,0.2313604037623308,0.2036400539976448
22700,9760,9751,9764,0.22870947306714068,0.23186675761709868,0.2067689856007285
22800,9766,9752,9764,0.23023072741926415,0.2324965486152199,0.20961572799293293
22900,9768,9756,9769,0.2309835350055255,0.2331173546333017,0.21193632222667275
23000,9769,9758,9769,0.23170608216958638,0.2335420591820902,0.21474243640490492
23100,9773,9763,9769,0.23258891495012365,0.23429863259440956,0.21698975859546452
23200,9775,9766,9771,0.23362413799344783,0.2353378617356054,0.2196441681092692
23300,9775,9768,9773,0.23469039886602192,0.23647379255170925,0.2222122366812855
23400,9776,9773,9775,0.23596135368848084,0.23724946752100953,0.2246130817139344
23500,9780,9778,9776,0.23663030816477815,0.23782298257396345,0.2274023898049121
23600,9785,9781,9777,0.23761596359180814,0.2389687524637986,0.23023769070431416
23700,9789,9785,9783,0.23893598007999237,0.23934659707688166,0.23295558160739874
23800,9791,9788,9790,0.23968393327480245,0.2397509215557929,0.23592574095441474
23900,9794,9795,9794,0.24034833091436866,0.24032186421566953,0.23970795439989753
